フロムアイズ様リブランディングPhase1　タスク一覧,,,,,,
,,,,,,
"ID",項目名,担当,期日,ステータス,優先度,備考
P1-001,Phase1素材リスト作成・共有,WCA,2025/02/05,未着手,最高,必要素材の洗い出し
P1-002,他サイト（コーポレート・カラコン）素材受領,WCA,確認中,待ち,最高,フロムアイズから
P1-003,直販EC差し替え用素材受領,WCA,確認中,待ち,最高,フロムアイズから
,,,,,,
Phase1 必要素材リスト,,,,,,
,,,,,,
ロゴ・ブランディング素材（4項目）,,,,,,
,,,,,,
"ID",項目名,担当,期日,ステータス,優先度,備考
M-001,新ロゴ（ヘッダー用）,FE,2025/02/12,受領済み,,【社外秘】4/1まで
M-002,新ロゴ（フッター用）,FE,2025/02/12,受領済み,,【社外秘】4/1まで
M-003,新ロゴ（ファビコン用）,FE,2025/02/12,受領済み,,【社外秘】4/1まで
M-004,新ブランドガイドライン,FE,2025/02/12,受領済み,,カラーコード、フォント等
,,,,,,
商品パッケージ画像（9項目）,,,,,,
,,,,,,
"ID",項目名,担当,期日,ステータス,優先度,備考
P-001,1DAYスタンダード新パッケージ,FE,2025/02/12,受領済み,,【社外秘】4/1まで
P-002,1DAYプレミアム新パッケージ,FE,2025/02/12,受領済み,,【社外秘】4/1まで
P-003,2WEEKスタンダード新パッケージ,FE,2025/02/12,受領済み,,【社外秘】4/1まで
P-004,2WEEKプレミアム新パッケージ,FE,2025/02/12,受領済み,,【社外秘】4/1まで
P-005,1MONTHスタンダード新パッケージ,FE,2025/02/12,受領済み,,【社外秘】4/1まで
P-006,1MONTHプレミアム新パッケージ,FE,2025/02/12,受領済み,,【社外秘】4/1まで
P-007,ブルーライトカット新パッケージ,FE,2025/02/12,受領済み,,【社外秘】4/1まで
P-008,乱視用1DAY新パッケージ,FE,2025/02/12,受領済み,,【社外秘】4/1まで・新商品
P-009,乱視用2WEEK新パッケージ,FE,2025/02/12,受領済み,,【社外秘】4/1まで・新商品
,,,,,,
トップページ・メインビジュアル（2項目）,,,,,,
,,,,,,
"ID",項目名,担当,期日,ステータス,優先度,備考
V-001,メインビジュアル（PC用）,FE,2025/02/12,未受領,,橋本愛さん起用【社外秘】
V-002,メインビジュアル（SP用）,FE,2025/02/12,未受領,,橋本愛さん起用【社外秘】
,,,,,,
商品情報・価格データ（1項目）,,,,,,
,,,,,,
"ID",項目名,担当,期日,ステータス,優先度,備考
D-001,新価格表（全商品）,FE,2025/02/07,不要（先方作業）,,【社外秘】価格改定情報
,,,,,,
カート・購入フロー対応,,,,,,
,,,,,,
"ID",項目名,担当,期日,ステータス,優先度,備考
P1-101,乱視用商品カート部分作成,WCA,2025/02/17,作成中,高,既存商品と購入フロー異なる
P1-102,既存商品カート部分作成,WCA,2025/02/17,作成中,高,-
P1-103,乱視用商品購入テスト（テスト環境）,WCA,2025/02/22,未着手,高,
P1-104,既存商品購入テスト（テスト環境）,WCA,,未着手,高,
P1-105,たまごリピート商品コード確認,WCA,2025/02/12,完了,中,乱視用商品の登録状況
P1-106,決済フォーム作成,WCA,2025/02/22,未着手,高,乱視用・既存商品
,,,,,,
Phase1実装・リリースタスク,,,,,,
,,,,,,
"ID",項目名,担当,期日,ステータス,優先度,備考
P1-201,トップページデザイン案作成,WCA,2025/02/19,未着手,高,新素材到着後
P1-202,トップページデザイン確認・承認,WCA,2025/02/23,未着手,高,杉浦さん承認必須
P1-203,全ページ価格表記差し替えリスト作成,WCA,2025/02/12,不要（先方作業）,高,価格改定対応
P1-204,全ページ画像差し替えリスト作成,WCA,2025/02/12,要検討,高,ロゴ・パッケージ等
P1-205,JANコード更新箇所リスト作成,WCA,2025/02/12,不要（先方作業）,高,商品マスタ更新準備
P1-206,Phase1実装作業（コーディング）,WCA,2025/03/17,未着手,高,-
P1-207,テスト環境アップロード・検証,WCA,2025/03/22,未着手,高,-
P1-208,本番環境リリース準備,WCA,2025/03/30,未着手,高,4/1 AM0:00切替想定
P1-209,本番環境リリース,WCA,2025/04/03,未着手,最高,リリース作業
P1-210,refrear.jp リダイレクト処理実装,WCA or アレックス,2025/04/03,未着手,高,クリアコンタクトブランドサイトへリダイレクト（URL未定）
